model,trait,format,prefix,neutral,method,layer,n_train,sign_correct_train,n_hold,sign_correct_hold,snr_train,snr_hold,mean_signed_hold,cv_acc,k_pcs_at_layer,cos_to_lda
Llama8,E,chat,generic,scenario_setups,LR,8,50,50,24,24,5.757936700907007,2.885210330669338,0.6240825254894454,,,0.39451533740684275
Llama8,E,chat,generic,scenario_setups,MD-raw,12,50,50,24,24,5.525396823883057,3.1785190105438232,0.8417418599128723,,,0.24978572130203247
Llama8,E,chat,generic,scenario_setups,MD-projected,12,50,50,24,24,5.526382923126221,3.1803505420684814,0.8414878249168396,,1,0.2500631511211395
Llama8,E,bare,generic,scenario_setups,LDA,8,50,47,24,22,1.6076704263687134,1.515608549118042,0.22743849456310272,1.0,,
Llama8,E,bare,generic,scenario_setups,LR,8,50,50,24,24,5.787810745001516,2.8370802125076557,0.6295312590187696,,,0.38228492886638415
Llama8,E,bare,generic,scenario_setups,MD-raw,14,50,50,24,24,5.622199535369873,3.1432018280029297,1.1829780340194702,,,0.20063263177871704
Llama8,E,bare,generic,scenario_setups,MD-projected,14,50,50,24,24,5.741616725921631,3.241933822631836,1.0728367567062378,,26,0.1969301998615265
Llama8,X,chat,generic,scenario_setups,LDA,13,50,45,24,24,1.5169622898101807,2.0369467735290527,0.5099349021911621,1.0,,
Llama8,X,chat,generic,scenario_setups,LR,13,50,50,24,23,5.46941489600648,2.430651242385619,0.9407287642715914,,,0.37787638385916644
Llama8,X,chat,generic,scenario_setups,MD-raw,13,50,50,24,23,4.116194248199463,2.3524587154388428,0.9521732926368713,,,0.4668016731739044
Llama8,X,chat,generic,scenario_setups,MD-projected,13,50,50,24,24,4.10888147354126,2.3620617389678955,0.9520276188850403,,1,0.46715247631073
Llama8,X,bare,generic,scenario_setups,LDA,18,50,44,24,24,1.3229762315750122,1.5595299005508423,0.7575788497924805,1.0,,
Llama8,X,bare,generic,scenario_setups,LR,18,50,50,24,24,5.533172289076324,2.192989579613042,1.5244145826323001,,,0.3115493763605548
Llama8,X,bare,generic,scenario_setups,MD-raw,13,50,50,24,24,4.1365509033203125,2.3542261123657227,0.9813372492790222,,,0.2404797077178955
Llama8,X,bare,generic,scenario_setups,MD-projected,13,50,50,24,24,4.050030708312988,2.4159770011901855,0.9112777709960938,,25,0.23920199275016785
Llama8,A,chat,generic,scenario_setups,LDA,12,50,46,24,24,1.2877459526062012,1.6232562065124512,0.2833694517612457,1.0,,
Llama8,A,chat,generic,scenario_setups,LR,12,50,50,24,24,5.148995156117398,1.7646254033729303,0.5686182716293998,,,0.3665908288109112
Llama8,A,chat,generic,scenario_setups,MD-raw,13,50,50,24,24,3.8732738494873047,2.0147199630737305,0.7780928611755371,,,0.36239302158355713
Llama8,A,chat,generic,scenario_setups,MD-projected,13,50,50,24,24,3.875176429748535,2.01505446434021,0.7780202031135559,,1,0.3624383211135864
Llama8,A,bare,generic,scenario_setups,LDA,17,50,46,24,22,1.2799142599105835,1.4742056131362915,0.4539020359516144,1.0,,
Llama8,A,bare,generic,scenario_setups,LR,17,50,50,24,23,5.967658564703212,1.9247652435068054,0.9574001809740486,,,0.3406706635876755
Llama8,A,bare,generic,scenario_setups,MD-raw,13,50,50,24,24,4.01737117767334,2.1373074054718018,0.8130394816398621,,,0.24690714478492737
Llama8,A,bare,generic,scenario_setups,MD-projected,13,50,50,24,24,3.859861135482788,2.2163500785827637,0.8003789782524109,,25,0.24531209468841553
Llama8,C,chat,generic,scenario_setups,LDA,7,50,45,24,23,1.30511474609375,1.3786431550979614,0.21826182305812836,1.0,,
Llama8,C,chat,generic,scenario_setups,LR,7,50,50,24,24,3.5452828815002846,1.4518790812683702,0.44117067515894687,,,0.3474863395553921
Llama8,C,chat,generic,scenario_setups,MD-raw,15,50,50,24,24,3.4525890350341797,1.7560263872146606,1.0456241369247437,,,0.1374729871749878
Llama8,C,chat,generic,scenario_setups,MD-projected,15,50,50,24,24,3.452470541000366,1.7572546005249023,1.0443754196166992,,1,0.13861960172653198
Llama8,C,bare,generic,scenario_setups,LDA,6,50,44,24,23,1.2163035869598389,1.3916091918945312,0.1925143599510193,1.0,,
Llama8,C,bare,generic,scenario_setups,LR,6,50,50,24,23,3.521902370516923,1.4928377837591573,0.36884262319017597,,,0.35367099461533846
Llama8,C,bare,generic,scenario_setups,MD-raw,15,50,50,24,23,3.498671770095825,1.7191306352615356,1.194559931755066,,,0.13435772061347961
Llama8,C,bare,generic,scenario_setups,MD-projected,13,50,50,24,24,3.9909286499023438,1.9288959503173828,0.8473471999168396,,25,0.14555566012859344
Llama8,O,chat,generic,scenario_setups,LDA,11,50,49,24,24,1.6238583326339722,3.31477689743042,0.33509981632232666,1.0,,
Llama8,O,chat,generic,scenario_setups,LR,11,50,50,24,24,4.8774676948950715,4.440137182558945,0.7454568745760181,,,0.3717633814181974
Llama8,O,chat,generic,scenario_setups,MD-raw,13,50,50,24,24,3.652684211730957,4.442324161529541,0.9841386675834656,,,0.3218352794647217
